Temps	Canal A
(us)	(V)

-431.82760631	2.04168800
-431.66760631	2.04168800
-431.50760631	2.04168800
-431.34760631	2.04168800
-431.18760631	2.22052700
-431.02760631	2.04168800
-430.86760631	2.04168800
-430.70760631	2.04168800
-430.54760631	2.04168800
-430.38760631	2.22052700
-430.22760632	2.04168800
-430.06760632	2.04168800
-429.90760632	2.22052700
-429.74760632	2.04168800
-429.58760632	2.04168800
-429.42760632	2.04168800
-429.26760632	2.04168800
-429.10760632	2.04168800
-428.94760632	2.04168800
-428.78760632	2.04168800
-428.62760633	2.04168800
-428.46760633	2.04168800
-428.30760633	2.22052700
-428.14760633	2.04168800
-427.98760633	2.04168800
-427.82760633	2.22052700
-427.66760633	2.22052700
-427.50760633	2.22052700
-427.34760633	2.22052700
-427.18760633	2.22052700
-427.02760634	2.22052700
-426.86760634	2.22052700
-426.70760634	2.04168800
-426.54760634	2.22052700
-426.38760634	2.04168800
-426.22760634	2.22052700
-426.06760634	2.04168800
-425.90760634	2.04168800
-425.74760634	2.22052700
-425.58760634	2.04168800
-425.42760634	2.22052700
-425.26760635	2.22052700
-425.10760635	2.04168800
-424.94760635	2.22052700
-424.78760635	2.22052700
-424.62760635	2.22052700
-424.46760635	2.22052700
-424.30760635	2.22052700
-424.14760635	2.22052700
-423.98760635	2.22052700
-423.82760635	2.22052700
-423.66760636	2.22052700
-423.50760636	2.22052700
-423.34760636	2.22052700
-423.18760636	2.22052700
-423.02760636	2.22052700
-422.86760636	2.22052700
-422.70760636	2.22052700
-422.54760636	2.22052700
-422.38760636	2.22052700
-422.22760636	2.22052700
-422.06760637	2.22052700
-421.90760637	2.22052700
-421.74760637	2.22052700
-421.58760637	2.22052700
-421.42760637	2.22052700
-421.26760637	2.22052700
-421.10760637	2.22052700
-420.94760637	2.22052700
-420.78760637	2.22052700
-420.62760637	2.22052700
-420.46760638	2.22052700
-420.30760638	2.22052700
-420.14760638	2.22052700
-419.98760638	2.22052700
-419.82760638	2.22052700
-419.66760638	2.22052700
-419.50760638	2.22052700
-419.34760638	2.22052700
-419.18760638	2.22052700
-419.02760638	2.22052700
-418.86760638	2.22052700
-418.70760639	2.39997600
-418.54760639	2.22052700
-418.38760639	2.22052700
-418.22760639	2.22052700
-418.06760639	2.22052700
-417.90760639	2.22052700
-417.74760639	2.22052700
-417.58760639	2.39997600
-417.42760639	2.22052700
-417.26760639	2.39997600
-417.10760640	2.22052700
-416.94760640	2.22052700
-416.78760640	2.39997600
-416.62760640	2.39997600
-416.46760640	2.22052700
-416.30760640	2.22052700
-416.14760640	2.39997600
-415.98760640	2.39997600
-415.82760640	2.39997600
-415.66760640	2.39997600
-415.50760641	2.39997600
-415.34760641	2.39997600
-415.18760641	2.39997600
-415.02760641	2.39997600
-414.86760641	2.39997600
-414.70760641	2.39997600
-414.54760641	2.39997600
-414.38760641	2.39997600
-414.22760641	2.39997600
-414.06760641	2.39997600
-413.90760641	2.39997600
-413.74760642	2.39997600
-413.58760642	2.39997600
-413.42760642	2.39997600
-413.26760642	2.39997600
-413.10760642	2.39997600
-412.94760642	2.39997600
-412.78760642	2.39997600
-412.62760642	2.39997600
-412.46760642	2.39997600
-412.30760642	2.39997600
-412.14760643	2.39997600
-411.98760643	2.39997600
-411.82760643	2.39997600
-411.66760643	2.39997600
-411.50760643	2.39997600
-411.34760643	2.39997600
-411.18760643	2.39997600
-411.02760643	2.39997600
-410.86760643	2.39997600
-410.70760643	2.39997600
-410.54760644	2.39997600
-410.38760644	2.39997600
-410.22760644	2.39997600
-410.06760644	2.57881400
-409.90760644	2.39997600
-409.74760644	2.39997600
-409.58760644	2.57881400
-409.42760644	2.57881400
-409.26760644	2.57881400
-409.10760644	2.39997600
-408.94760645	2.39997600
-408.78760645	2.39997600
-408.62760645	2.39997600
-408.46760645	2.39997600
-408.30760645	2.39997600
-408.14760645	2.57881400
-407.98760645	2.39997600
