Temps	Canal A
(ms)	(V)

-0.96545500	-1.18228700
-0.96513500	-1.18228700
-0.96481500	-1.18228700
-0.96449500	-1.18228700
-0.96417500	-1.18228700
-0.96385500	-1.18228700
-0.96353500	-1.18228700
-0.96321500	-1.18228700
-0.96289500	-1.18228700
-0.96257500	-1.18228700
-0.96225500	-1.00283800
-0.96193500	-1.00283800
-0.96161500	-1.18228700
-0.96129500	-1.00283800
-0.96097500	-1.00283800
-0.96065500	-1.00283800
-0.96033500	-1.00283800
-0.96001500	-1.00283800
-0.95969500	-1.00283800
-0.95937500	-1.00283800
-0.95905500	-1.00283800
-0.95873500	-1.00283800
-0.95841500	-1.00283800
-0.95809500	-1.00283800
-0.95777500	-1.00283800
-0.95745500	-1.00283800
-0.95713500	-1.00283800
-0.95681500	-0.82399980
-0.95649500	-0.82399980
-0.95617500	-0.82399980
-0.95585500	-0.82399980
-0.95553500	-0.82399980
-0.95521500	-0.82399980
-0.95489500	-1.00283800
-0.95457500	-0.82399980
-0.95425500	-0.82399980
-0.95393500	-0.82399980
-0.95361500	-0.82399980
-0.95329500	-0.82399980
-0.95297500	-0.82399980
-0.95265500	-0.82399980
-0.95233500	-0.82399980
-0.95201500	-0.82399980
-0.95169500	-0.64455090
-0.95137500	-0.64455090
-0.95105500	-0.64455090
-0.95073500	-0.64455090
-0.95041500	-0.64455090
-0.95009500	-0.64455090
-0.94977500	-0.64455090
-0.94945500	-0.64455090
-0.94913500	-0.64455090
-0.94881500	-0.64455090
-0.94849500	-0.64455090
-0.94817500	-0.64455090
-0.94785500	-0.64455090
-0.94753500	-0.64455090
-0.94721500	-0.46571250
-0.94689500	-0.46571250
-0.94657500	-0.46571250
-0.94625500	-0.46571250
-0.94593500	-0.46571250
-0.94561500	-0.46571250
-0.94529500	-0.46571250
-0.94497500	-0.46571250
-0.94465500	-0.46571250
-0.94433500	-0.46571250
-0.94401500	-0.46571250
-0.94369500	-0.28626360
-0.94337500	-0.46571250
-0.94305500	-0.46571250
-0.94273500	4.37025100
-0.94241500	10.10285000
-0.94209500	12.96854000
-0.94177500	10.63997000
-0.94145500	9.92339900
-0.94113500	9.74456000
-0.94081500	9.56511100
-0.94049500	9.56511100
-0.94017500	9.38627200
-0.93985500	9.38627200
-0.93953500	9.38627200
-0.93921500	9.20682400
-0.93889500	9.02798600
-0.93857500	9.02798600
-0.93825500	8.84853600
-0.93793500	8.84853600
-0.93761500	8.66969800
-0.93729500	7.59483600
-0.93697500	7.23654900
-0.93665500	7.23654900
-0.93633500	6.69881300
-0.93601500	5.98284900
-0.93569500	5.98284900
-0.93537500	5.98284900
-0.93505500	5.80340000
-0.93473500	5.98284900
-0.93441500	5.80340000
-0.93409500	5.80340000
-0.93377500	5.80340000
-0.93345500	5.80340000
-0.93313500	5.62456100
-0.93281500	5.62456100
-0.93249500	5.62456100
-0.93217500	5.62456100
-0.93185500	5.44511200
-0.93153500	5.44511200
-0.93121500	5.44511200
-0.93089500	5.44511200
-0.93057500	5.26627400
-0.93025500	5.26627400
-0.92993500	5.26627400
-0.92961500	5.26627400
-0.92929500	5.26627400
-0.92897500	5.26627400
-0.92865500	5.08682500
-0.92833500	5.08682500
-0.92801500	5.08682500
-0.92769500	5.08682500
-0.92737500	4.90798700
-0.92705500	5.08682500
-0.92673500	4.90798700
-0.92641500	4.90798700
-0.92609500	4.90798700
-0.92577500	4.90798700
-0.92545500	4.72853800
-0.92513500	4.72853800
-0.92481500	4.72853800
-0.92449500	4.72853800
-0.92417500	4.72853800
-0.92385500	4.54969900
-0.92353500	4.54969900
-0.92321500	4.54969900
-0.92289500	4.54969900
-0.92257500	4.54969900
-0.92225500	4.37025100
-0.92193500	4.37025100
-0.92161500	4.37025100
-0.92129500	4.37025100
-0.92097500	4.37025100
-0.92065500	4.37025100
-0.92033500	4.37025100
-0.92001500	4.37025100
-0.91969500	4.19141200
-0.91937500	4.19141200
-0.91905500	4.01196300
-0.91873500	4.19141200
-0.91841500	4.01196300
-0.91809500	4.01196300
-0.91777500	4.01196300
-0.91745500	4.01196300
-0.91713500	4.01196300
-0.91681500	4.01196300
-0.91649500	3.83312500
-0.91617500	3.83312500
-0.91585500	3.83312500
-0.91553500	3.83312500
-0.91521500	3.83312500
-0.91489500	3.83312500
-0.91457500	3.65367600
-0.91425500	3.65367600
-0.91393500	3.83312500
-0.91361500	3.65367600
-0.91329500	3.65367600
-0.91297500	3.65367600
-0.91265500	3.65367600
-0.91233500	3.65367600
-0.91201500	3.65367600
-0.91169500	3.65367600
-0.91137500	3.47483800
-0.91105500	3.47483800
