Temps	Canal A
(us)	(V)

-243.17599144	-0.46571250
-243.09599144	-0.46571250
-243.01599144	-0.46571250
-242.93599144	-0.46571250
-242.85599144	-0.46571250
-242.77599145	-0.46571250
-242.69599145	-0.46571250
-242.61599145	-0.46571250
-242.53599145	-0.46571250
-242.45599145	-0.46571250
-242.37599145	-0.46571250
-242.29599145	-0.46571250
-242.21599145	-0.46571250
-242.13599145	-0.46571250
-242.05599145	-0.46571250
-241.97599145	-0.28626360
-241.89599145	-0.46571250
-241.81599145	-0.28626360
-241.73599145	-0.28626360
-241.65599145	-0.28626360
-241.57599145	-0.28626360
-241.49599145	-0.28626360
-241.41599145	-0.28626360
-241.33599145	-0.28626360
-241.25599145	-0.28626360
-241.17599146	-0.28626360
-241.09599146	-0.28626360
-241.01599146	-0.28626360
-240.93599146	-0.28626360
-240.85599146	-0.28626360
-240.77599146	-0.28626360
-240.69599146	-0.28626360
-240.61599146	-0.28626360
-240.53599146	-0.28626360
-240.45599146	-0.10742520
-240.37599146	-0.10742520
-240.29599146	-0.10742520
-240.21599146	-0.10742520
-240.13599146	-0.28626360
-240.05599146	-0.10742520
-239.97599146	-0.10742520
-239.89599146	-0.10742520
-239.81599146	-0.10742520
-239.73599146	-0.10742520
-239.65599146	-0.10742520
-239.57599146	-0.10742520
-239.49599147	0.07202368
-239.41599147	0.07202368
-239.33599147	0.07202368
-239.25599147	0.07202368
-239.17599147	0.07202368
-239.09599147	0.07202368
-239.01599147	0.07202368
-238.93599147	0.07202368
-238.85599147	0.07202368
-238.77599147	0.07202368
-238.69599147	0.07202368
-238.61599147	0.07202368
-238.53599147	0.07202368
-238.45599147	0.07202368
-238.37599147	0.07202368
-238.29599147	0.07202368
-238.21599147	0.07202368
-238.13599147	0.07202368
-238.05599147	0.07202368
-237.97599147	0.07202368
-237.89599148	0.25086220
-237.81599148	0.25086220
-237.73599148	0.07202368
-237.65599148	0.25086220
-237.57599148	0.25086220
-237.49599148	0.25086220
-237.41599148	0.25086220
-237.33599148	0.25086220
-237.25599148	0.25086220
-237.17599148	0.25086220
-237.09599148	0.25086220
-237.01599148	0.25086220
-236.93599148	0.25086220
-236.85599148	0.25086220
-236.77599148	0.25086220
-236.69599148	0.25086220
-236.61599148	0.25086220
-236.53599148	0.25086220
-236.45599148	0.25086220
-236.37599148	0.25086220
-236.29599148	0.42970060
-236.21599149	0.42970060
-236.13599149	0.42970060
-236.05599149	0.42970060
-235.97599149	0.42970060
-235.89599149	0.42970060
-235.81599149	0.42970060
-235.73599149	0.42970060
-235.65599149	0.42970060
-235.57599149	0.42970060
-235.49599149	0.42970060
-235.41599149	0.42970060
-235.33599149	0.60853910
-235.25599149	0.42970060
-235.17599149	0.42970060
-235.09599149	0.60853910
-235.01599149	0.60853910
-234.93599149	0.60853910
-234.85599149	0.42970060
-234.77599149	0.60853910
-234.69599149	0.60853910
-234.61599149	0.60853910
-234.53599150	0.60853910
-234.45599150	0.60853910
-234.37599150	0.60853910
-234.29599150	0.78737750
-234.21599150	0.60853910
-234.13599150	0.78737750
-234.05599150	0.60853910
-233.97599150	0.78737750
-233.89599150	0.78737750
-233.81599150	0.78737750
-233.73599150	0.78737750
-233.65599150	0.78737750
-233.57599150	0.78737750
-233.49599150	0.78737750
-233.41599150	0.78737750
-233.33599150	0.78737750
-233.25599150	0.78737750
-233.17599150	0.78737750
-233.09599150	0.78737750
-233.01599150	0.96682640
-232.93599151	0.78737750
-232.85599151	0.78737750
-232.77599151	0.78737750
-232.69599151	0.96682640
-232.61599151	0.96682640
-232.53599151	0.96682640
-232.45599151	0.96682640
-232.37599151	0.96682640
-232.29599151	0.96682640
-232.21599151	0.96682640
-232.13599151	0.96682640
-232.05599151	0.96682640
-231.97599151	0.96682640
-231.89599151	0.96682640
-231.81599151	0.96682640
-231.73599151	1.14566500
-231.65599151	1.14566500
-231.57599151	1.14566500
-231.49599151	0.96682640
-231.41599151	1.14566500
-231.33599151	1.14566500
-231.25599152	1.14566500
-231.17599152	1.14566500
-231.09599152	0.96682640
-231.01599152	1.14566500
-230.93599152	1.14566500
-230.85599152	1.32511400
-230.77599152	1.14566500
-230.69599152	1.14566500
-230.61599152	1.14566500
-230.53599152	1.32511400
-230.45599152	1.14566500
-230.37599152	1.32511400
-230.29599152	1.32511400
-230.21599152	1.32511400
-230.13599152	1.32511400
-230.05599152	1.32511400
-229.97599152	1.32511400
-229.89599152	1.50395200
-229.81599152	1.32511400
-229.73599152	1.32511400
-229.65599153	1.50395200
-229.57599153	1.50395200
-229.49599153	1.50395200
-229.41599153	1.50395200
-229.33599153	1.50395200
-229.25599153	1.50395200
-229.17599153	1.50395200
-229.09599153	1.50395200
-229.01599153	1.50395200
-228.93599153	1.50395200
-228.85599153	1.50395200
-228.77599153	1.50395200
-228.69599153	1.50395200
-228.61599153	1.50395200
-228.53599153	1.50395200
-228.45599153	1.50395200
-228.37599153	1.50395200
-228.29599153	1.50395200
-228.21599153	1.50395200
-228.13599153	1.50395200
-228.05599153	1.50395200
-227.97599154	1.50395200
-227.89599154	1.68340100
-227.81599154	1.50395200
-227.73599154	1.68340100
-227.65599154	1.68340100
-227.57599154	1.68340100
-227.49599154	1.68340100
-227.41599154	1.68340100
-227.33599154	1.68340100
-227.25599154	1.68340100
-227.17599154	1.68340100
-227.09599154	1.68340100
-227.01599154	1.68340100
-226.93599154	1.68340100
-226.85599154	1.68340100
-226.77599154	1.86223900
-226.69599154	1.86223900
-226.61599154	1.86223900
-226.53599154	1.86223900
-226.45599154	1.86223900
-226.37599155	1.86223900
-226.29599155	1.86223900
-226.21599155	1.86223900
-226.13599155	1.86223900
-226.05599155	1.86223900
-225.97599155	1.86223900
-225.89599155	1.86223900
-225.81599155	1.86223900
-225.73599155	1.86223900
-225.65599155	1.86223900
-225.57599155	1.86223900
-225.49599155	2.04168800
-225.41599155	1.86223900
-225.33599155	1.86223900
-225.25599155	1.86223900
-225.17599155	2.04168800
-225.09599155	2.04168800
-225.01599155	2.04168800
-224.93599155	2.04168800
-224.85599155	2.04168800
-224.77599155	2.04168800
-224.69599156	2.04168800
-224.61599156	2.04168800
-224.53599156	2.22052700
-224.45599156	2.04168800
-224.37599156	2.04168800
-224.29599156	2.04168800
-224.21599156	2.22052700
-224.13599156	2.04168800
-224.05599156	2.22052700
-223.97599156	2.04168800
-223.89599156	2.22052700
-223.81599156	2.22052700
-223.73599156	2.22052700
-223.65599156	2.22052700
-223.57599156	2.22052700
-223.49599156	2.22052700
-223.41599156	2.22052700
-223.33599156	2.22052700
-223.25599156	2.22052700
-223.17599156	2.22052700
-223.09599157	2.22052700
-223.01599157	2.22052700
-222.93599157	2.39997600
-222.85599157	2.39997600
